,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res
0,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_00r.yaml,2024-05-06,20:07:43,,,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,,,,,,[],,[],,,,,,,,,[],,[],,,
1,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_00r.yaml,2024-05-06,20:07:43,2024-05-06,20:32:30,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.1701,"OrderedDict([('recall@10', 0.1005), ('recall@6', 0.0627), ('recall@3', 0.0338), ('mrr@10', 0.1701), ('mrr@6', 0.1527), ('mrr@3', 0.1237), ('map@10', 0.0382), ('map@6', 0.0372), ('map@3', 0.0454), ('ndcg@10', 0.0892), ('ndcg@6', 0.0761), ('ndcg@3', 0.071), ('hit@10', 0.4861), ('hit@6', 0.3408), ('hit@3', 0.1993), ('precision@10', 0.0652), ('precision@6', 0.0669), ('precision@3', 0.0714)])","OrderedDict([('recall@10', 0.0986), ('recall@6', 0.0616), ('recall@3', 0.0328), ('mrr@10', 0.1687), ('mrr@6', 0.151), ('mrr@3', 0.1221), ('map@10', 0.0373), ('map@6', 0.0364), ('map@3', 0.0443), ('ndcg@10', 0.0883), ('ndcg@6', 0.0751), ('ndcg@3', 0.0699), ('hit@10', 0.4861), ('hit@6', 0.339), ('hit@3', 0.1983), ('precision@10', 0.0658), ('precision@6', 0.0669), ('precision@3', 0.0706)])",,,,,,[],,[],,,
2,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_00v.yaml,2024-05-06,20:32:33,2024-05-06,20:59:47,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.657,"OrderedDict([('auc', 0.657), ('mae', 0.8152), ('rmse', 0.8279), ('logloss', 2.0526)])","OrderedDict([('auc', 0.659), ('mae', 0.815), ('rmse', 0.8276), ('logloss', 2.0498)])",,,,,,[],,[],,,
3,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_01ra.yaml,2024-05-06,20:59:51,2024-05-06,21:48:13,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.1685,"OrderedDict([('recall@10', 0.0986), ('recall@6', 0.0633), ('recall@3', 0.0328), ('mrr@10', 0.1685), ('mrr@6', 0.1513), ('mrr@3', 0.1201), ('map@10', 0.0379), ('map@6', 0.0373), ('map@3', 0.0447), ('ndcg@10', 0.0889), ('ndcg@6', 0.0764), ('ndcg@3', 0.0696), ('hit@10', 0.4878), ('hit@6', 0.3448), ('hit@3', 0.194), ('precision@10', 0.0662), ('precision@6', 0.0683), ('precision@3', 0.0703)])","OrderedDict([('recall@10', 0.0958), ('recall@6', 0.0605), ('recall@3', 0.0314), ('mrr@10', 0.1647), ('mrr@6', 0.1465), ('mrr@3', 0.1177), ('map@10', 0.0363), ('map@6', 0.036), ('map@3', 0.043), ('ndcg@10', 0.0863), ('ndcg@6', 0.0739), ('ndcg@3', 0.0676), ('hit@10', 0.4817), ('hit@6', 0.3296), ('hit@3', 0.1902), ('precision@10', 0.0649), ('precision@6', 0.0663), ('precision@3', 0.0683)])",,,,,,[],,[],,,
4,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_01rb.yaml,2024-05-06,21:48:17,2024-05-06,22:36:58,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.1725,"OrderedDict([('recall@10', 0.0986), ('recall@6', 0.0627), ('recall@3', 0.0353), ('mrr@10', 0.1725), ('mrr@6', 0.1549), ('mrr@3', 0.1268), ('map@10', 0.0385), ('map@6', 0.0381), ('map@3', 0.0469), ('ndcg@10', 0.0895), ('ndcg@6', 0.0773), ('ndcg@3', 0.0736), ('hit@10', 0.4896), ('hit@6', 0.3433), ('hit@3', 0.2072), ('precision@10', 0.066), ('precision@6', 0.0683), ('precision@3', 0.0749)])","OrderedDict([('recall@10', 0.0961), ('recall@6', 0.0604), ('recall@3', 0.0319), ('mrr@10', 0.1691), ('mrr@6', 0.1506), ('mrr@3', 0.1218), ('map@10', 0.0367), ('map@6', 0.0363), ('map@3', 0.0446), ('ndcg@10', 0.0872), ('ndcg@6', 0.0746), ('ndcg@3', 0.0698), ('hit@10', 0.4873), ('hit@6', 0.3339), ('hit@3', 0.1945), ('precision@10', 0.0648), ('precision@6', 0.0656), ('precision@3', 0.0699)])",,,,,,[],,[],,,
5,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_01va.yaml,2024-05-06,22:37:13,2024-05-06,23:39:25,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.664,"OrderedDict([('auc', 0.664), ('mae', 0.7897), ('rmse', 0.8038), ('logloss', 1.8826)])","OrderedDict([('auc', 0.6637), ('mae', 0.7894), ('rmse', 0.8034), ('logloss', 1.8793)])",,,,,,[],,[],,,
6,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_01vb.yaml,2024-05-07,00:06:31,2024-05-07,00:59:26,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.6695,"OrderedDict([('auc', 0.6695), ('mae', 0.8227), ('rmse', 0.834), ('logloss', 2.0621)])","OrderedDict([('auc', 0.6694), ('mae', 0.8225), ('rmse', 0.8338), ('logloss', 2.0595)])",,,,,,[],,[],,,
7,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_02ra.yaml,2024-05-07,08:53:23,2024-05-07,09:44:46,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1709,"OrderedDict([('recall@10', 0.0964), ('recall@6', 0.0601), ('recall@3', 0.0318), ('mrr@10', 0.1709), ('mrr@6', 0.1541), ('mrr@3', 0.125), ('map@10', 0.0374), ('map@6', 0.0374), ('map@3', 0.0467), ('ndcg@10', 0.0882), ('ndcg@6', 0.0766), ('ndcg@3', 0.0726), ('hit@10', 0.484), ('hit@6', 0.3436), ('hit@3', 0.2016), ('precision@10', 0.0664), ('precision@6', 0.0689), ('precision@3', 0.0732)])","OrderedDict([('recall@10', 0.0955), ('recall@6', 0.0588), ('recall@3', 0.0313), ('mrr@10', 0.1728), ('mrr@6', 0.1539), ('mrr@3', 0.1252), ('map@10', 0.0364), ('map@6', 0.0369), ('map@3', 0.0457), ('ndcg@10', 0.0881), ('ndcg@6', 0.0762), ('ndcg@3', 0.0719), ('hit@10', 0.5), ('hit@6', 0.3433), ('hit@3', 0.2026), ('precision@10', 0.0675), ('precision@6', 0.0688), ('precision@3', 0.0726)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",0.0,[{'epochs': 20}],0.1718,"OrderedDict([('recall@10', 0.1), ('recall@6', 0.0616), ('recall@3', 0.0327), ('mrr@10', 0.1718), ('mrr@6', 0.1532), ('mrr@3', 0.1244), ('map@10', 0.0373), ('map@6', 0.0364), ('map@3', 0.0453), ('ndcg@10', 0.0892), ('ndcg@6', 0.0755), ('ndcg@3', 0.0716), ('hit@10', 0.4985), ('hit@6', 0.3438), ('hit@3', 0.2041), ('precision@10', 0.0671), ('precision@6', 0.0674), ('precision@3', 0.0729)])","OrderedDict([('recall@10', 0.099), ('recall@6', 0.0607), ('recall@3', 0.0314), ('mrr@10', 0.1647), ('mrr@6', 0.1458), ('mrr@3', 0.1155), ('map@10', 0.0362), ('map@6', 0.0353), ('map@3', 0.0424), ('ndcg@10', 0.0876), ('ndcg@6', 0.0737), ('ndcg@3', 0.0669), ('hit@10', 0.4947), ('hit@6', 0.337), ('hit@3', 0.1897), ('precision@10', 0.0668), ('precision@6', 0.0672), ('precision@3', 0.0681)])"
8,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_02rb.yaml,2024-05-07,09:44:50,2024-05-07,10:26:34,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1166,"OrderedDict([('recall@10', 0.0556), ('recall@6', 0.0367), ('recall@3', 0.0205), ('mrr@10', 0.1166), ('mrr@6', 0.1046), ('mrr@3', 0.0857), ('map@10', 0.0224), ('map@6', 0.0236), ('map@3', 0.0306), ('ndcg@10', 0.0544), ('ndcg@6', 0.0489), ('ndcg@3', 0.048), ('hit@10', 0.3256), ('hit@6', 0.2254), ('hit@3', 0.1336), ('precision@10', 0.0403), ('precision@6', 0.043), ('precision@3', 0.0472)])","OrderedDict([('recall@10', 0.06), ('recall@6', 0.0384), ('recall@3', 0.0208), ('mrr@10', 0.1205), ('mrr@6', 0.107), ('mrr@3', 0.0859), ('map@10', 0.0236), ('map@6', 0.0243), ('map@3', 0.0307), ('ndcg@10', 0.0577), ('ndcg@6', 0.0508), ('ndcg@3', 0.0483), ('hit@10', 0.3489), ('hit@6', 0.2371), ('hit@3', 0.1354), ('precision@10', 0.0435), ('precision@6', 0.0451), ('precision@3', 0.0478)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.1612,"OrderedDict([('recall@10', 0.0938), ('recall@6', 0.0593), ('recall@3', 0.0306), ('mrr@10', 0.1612), ('mrr@6', 0.144), ('mrr@3', 0.1157), ('map@10', 0.0354), ('map@6', 0.0351), ('map@3', 0.0427), ('ndcg@10', 0.0834), ('ndcg@6', 0.0717), ('ndcg@3', 0.0662), ('hit@10', 0.4615), ('hit@6', 0.319), ('hit@3', 0.1815), ('precision@10', 0.0606), ('precision@6', 0.0629), ('precision@3', 0.0658)])","OrderedDict([('recall@10', 0.0959), ('recall@6', 0.0599), ('recall@3', 0.0321), ('mrr@10', 0.1626), ('mrr@6', 0.1444), ('mrr@3', 0.1148), ('map@10', 0.0365), ('map@6', 0.0356), ('map@3', 0.0431), ('ndcg@10', 0.0854), ('ndcg@6', 0.0724), ('ndcg@3', 0.0667), ('hit@10', 0.4782), ('hit@6', 0.3266), ('hit@3', 0.1828), ('precision@10', 0.0627), ('precision@6', 0.0638), ('precision@3', 0.067)])"
9,neumf/baseline_bandle_3,exp_0_NeuMF_ml1m_02rc.yaml,2024-05-07,10:26:51,2024-05-07,11:12:48,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1247,"OrderedDict([('recall@10', 0.0622), ('recall@6', 0.0405), ('recall@3', 0.0208), ('mrr@10', 0.1247), ('mrr@6', 0.1121), ('mrr@3', 0.0887), ('map@10', 0.0237), ('map@6', 0.0246), ('map@3', 0.0313), ('ndcg@10', 0.0588), ('ndcg@6', 0.0525), ('ndcg@3', 0.049), ('hit@10', 0.3537), ('hit@6', 0.25), ('hit@3', 0.1367), ('precision@10', 0.044), ('precision@6', 0.047), ('precision@3', 0.0476)])","OrderedDict([('recall@10', 0.0607), ('recall@6', 0.0386), ('recall@3', 0.0201), ('mrr@10', 0.1156), ('mrr@6', 0.103), ('mrr@3', 0.081), ('map@10', 0.0227), ('map@6', 0.0231), ('map@3', 0.0283), ('ndcg@10', 0.0566), ('ndcg@6', 0.0496), ('ndcg@3', 0.0457), ('hit@10', 0.3463), ('hit@6', 0.2406), ('hit@3', 0.1344), ('precision@10', 0.0436), ('precision@6', 0.0453), ('precision@3', 0.0465)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.1676,"OrderedDict([('recall@10', 0.1001), ('recall@6', 0.0648), ('recall@3', 0.0328), ('mrr@10', 0.1676), ('mrr@6', 0.151), ('mrr@3', 0.1199), ('map@10', 0.0379), ('map@6', 0.0371), ('map@3', 0.0436), ('ndcg@10', 0.0883), ('ndcg@6', 0.0761), ('ndcg@3', 0.0682), ('hit@10', 0.482), ('hit@6', 0.3413), ('hit@3', 0.1907), ('precision@10', 0.0641), ('precision@6', 0.0673), ('precision@3', 0.068)])","OrderedDict([('recall@10', 0.0984), ('recall@6', 0.0612), ('recall@3', 0.0319), ('mrr@10', 0.1672), ('mrr@6', 0.1487), ('mrr@3', 0.1183), ('map@10', 0.0367), ('map@6', 0.0357), ('map@3', 0.0428), ('ndcg@10', 0.0872), ('ndcg@6', 0.0736), ('ndcg@3', 0.0669), ('hit@10', 0.4883), ('hit@6', 0.3342), ('hit@3', 0.1859), ('precision@10', 0.0645), ('precision@6', 0.065), ('precision@3', 0.0662)])"
