,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,seed,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res
0,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01r_d1.yaml,2024-05-13,16:17:42,,,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni50,uni50,MRR@10,0.3,,,,,,[],,[],,,,,,,,,[],,[],,,
1,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01r_d1.yaml,2024-05-13,16:17:42,2024-05-13,17:01:54,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni50,uni50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.2704,"OrderedDict([('recall@10', 0.1428), ('recall@6', 0.0991), ('recall@3', 0.056), ('mrr@10', 0.2704), ('mrr@6', 0.2593), ('mrr@3', 0.23), ('map@10', 0.0765), ('map@6', 0.0815), ('map@3', 0.1022), ('ndcg@10', 0.1505), ('ndcg@6', 0.1437), ('ndcg@3', 0.1443), ('hit@10', 0.5649), ('hit@6', 0.4741), ('hit@3', 0.3357), ('precision@10', 0.1133), ('precision@6', 0.1279), ('precision@3', 0.1423)])","OrderedDict([('recall@10', 0.1486), ('recall@6', 0.1002), ('recall@3', 0.0568), ('mrr@10', 0.2785), ('mrr@6', 0.2671), ('mrr@3', 0.2386), ('map@10', 0.0809), ('map@6', 0.0852), ('map@3', 0.1064), ('ndcg@10', 0.157), ('ndcg@6', 0.1478), ('ndcg@3', 0.1489), ('hit@10', 0.5657), ('hit@6', 0.4729), ('hit@3', 0.3387), ('precision@10', 0.1179), ('precision@6', 0.1298), ('precision@3', 0.1445)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.5654,"OrderedDict([('recall@10', 0.3342), ('recall@6', 0.2429), ('recall@3', 0.1462), ('mrr@10', 0.5654), ('mrr@6', 0.5559), ('mrr@3', 0.5199), ('map@10', 0.2056), ('map@6', 0.2134), ('map@3', 0.2579), ('ndcg@10', 0.3482), ('ndcg@6', 0.3351), ('ndcg@3', 0.3422), ('hit@10', 0.9356), ('hit@6', 0.8585), ('hit@3', 0.6912), ('precision@10', 0.2401), ('precision@6', 0.2837), ('precision@3', 0.3294)])","OrderedDict([('recall@10', 0.3386), ('recall@6', 0.2475), ('recall@3', 0.1502), ('mrr@10', 0.5737), ('mrr@6', 0.5643), ('mrr@3', 0.5309), ('map@10', 0.2117), ('map@6', 0.2206), ('map@3', 0.2686), ('ndcg@10', 0.3554), ('ndcg@6', 0.3431), ('ndcg@3', 0.3534), ('hit@10', 0.9348), ('hit@6', 0.86), ('hit@3', 0.7044), ('precision@10', 0.245), ('precision@6', 0.2898), ('precision@3', 0.3409)])"
2,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01r_d2.yaml,2024-05-13,17:01:58,2024-05-13,17:45:26,ml-1m,3945,3456,256137,123,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni50,uni50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.2657,"OrderedDict([('recall@10', 0.1393), ('recall@6', 0.0944), ('recall@3', 0.0529), ('mrr@10', 0.2657), ('mrr@6', 0.2547), ('mrr@3', 0.2264), ('map@10', 0.0737), ('map@6', 0.0785), ('map@3', 0.0991), ('ndcg@10', 0.147), ('ndcg@6', 0.1396), ('ndcg@3', 0.1409), ('hit@10', 0.5512), ('hit@6', 0.4622), ('hit@3', 0.3286), ('precision@10', 0.1126), ('precision@6', 0.1253), ('precision@3', 0.1384)])","OrderedDict([('recall@10', 0.1407), ('recall@6', 0.0954), ('recall@3', 0.0531), ('mrr@10', 0.2673), ('mrr@6', 0.2564), ('mrr@3', 0.2272), ('map@10', 0.0753), ('map@6', 0.0799), ('map@3', 0.099), ('ndcg@10', 0.1492), ('ndcg@6', 0.1412), ('ndcg@3', 0.1407), ('hit@10', 0.5532), ('hit@6', 0.4648), ('hit@3', 0.3283), ('precision@10', 0.1144), ('precision@6', 0.1266), ('precision@3', 0.1377)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.5728,"OrderedDict([('recall@10', 0.3547), ('recall@6', 0.2561), ('recall@3', 0.1559), ('mrr@10', 0.5728), ('mrr@6', 0.5633), ('mrr@3', 0.5296), ('map@10', 0.2194), ('map@6', 0.2235), ('map@3', 0.267), ('ndcg@10', 0.365), ('ndcg@6', 0.3472), ('ndcg@3', 0.3531), ('hit@10', 0.9412), ('hit@6', 0.8646), ('hit@3', 0.7079), ('precision@10', 0.2523), ('precision@6', 0.294), ('precision@3', 0.342)])","OrderedDict([('recall@10', 0.3611), ('recall@6', 0.2625), ('recall@3', 0.163), ('mrr@10', 0.5984), ('mrr@6', 0.5902), ('mrr@3', 0.558), ('map@10', 0.2311), ('map@6', 0.2363), ('map@3', 0.2869), ('ndcg@10', 0.3785), ('ndcg@6', 0.3616), ('ndcg@3', 0.375), ('hit@10', 0.9485), ('hit@6', 0.8831), ('hit@3', 0.735), ('precision@10', 0.2586), ('precision@6', 0.3016), ('precision@3', 0.3619)])"
3,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01r_t1.yaml,2024-05-13,17:45:30,2024-05-13,18:37:36,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni50,uni50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.4852,"OrderedDict([('recall@10', 0.2729), ('recall@6', 0.1966), ('recall@3', 0.1182), ('mrr@10', 0.4852), ('mrr@6', 0.4719), ('mrr@3', 0.4317), ('map@10', 0.1571), ('map@6', 0.1637), ('map@3', 0.1983), ('ndcg@10', 0.2837), ('ndcg@6', 0.2708), ('ndcg@3', 0.2728), ('hit@10', 0.8877), ('hit@6', 0.7819), ('hit@3', 0.5948), ('precision@10', 0.1965), ('precision@6', 0.2289), ('precision@3', 0.2631)])","OrderedDict([('recall@10', 0.2777), ('recall@6', 0.2011), ('recall@3', 0.1243), ('mrr@10', 0.4978), ('mrr@6', 0.4852), ('mrr@3', 0.4483), ('map@10', 0.1637), ('map@6', 0.1714), ('map@3', 0.2109), ('ndcg@10', 0.2915), ('ndcg@6', 0.2794), ('ndcg@3', 0.2873), ('hit@10', 0.8879), ('hit@6', 0.7863), ('hit@3', 0.6144), ('precision@10', 0.2002), ('precision@6', 0.234), ('precision@3', 0.2773)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.5582,"OrderedDict([('recall@10', 0.3376), ('recall@6', 0.2448), ('recall@3', 0.1464), ('mrr@10', 0.5582), ('mrr@6', 0.5481), ('mrr@3', 0.5127), ('map@10', 0.2049), ('map@6', 0.2097), ('map@3', 0.2499), ('ndcg@10', 0.3471), ('ndcg@6', 0.3308), ('ndcg@3', 0.3348), ('hit@10', 0.9351), ('hit@6', 0.8547), ('hit@3', 0.6914), ('precision@10', 0.2388), ('precision@6', 0.2798), ('precision@3', 0.3233)])","OrderedDict([('recall@10', 0.3427), ('recall@6', 0.25), ('recall@3', 0.1531), ('mrr@10', 0.5702), ('mrr@6', 0.5611), ('mrr@3', 0.527), ('map@10', 0.2144), ('map@6', 0.2207), ('map@3', 0.2682), ('ndcg@10', 0.3569), ('ndcg@6', 0.3418), ('ndcg@3', 0.3523), ('hit@10', 0.9288), ('hit@6', 0.856), ('hit@3', 0.6975), ('precision@10', 0.2444), ('precision@6', 0.2864), ('precision@3', 0.3401)])"
4,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01r_t2.yaml,2024-05-13,18:37:40,2024-05-13,19:26:48,ml-1m,3945,3456,256137,123,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni50,uni50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.4842,"OrderedDict([('recall@10', 0.2731), ('recall@6', 0.1965), ('recall@3', 0.1208), ('mrr@10', 0.4842), ('mrr@6', 0.4716), ('mrr@3', 0.4326), ('map@10', 0.1567), ('map@6', 0.1623), ('map@3', 0.1991), ('ndcg@10', 0.2824), ('ndcg@6', 0.2691), ('ndcg@3', 0.2744), ('hit@10', 0.8798), ('hit@6', 0.7802), ('hit@3', 0.6002), ('precision@10', 0.1949), ('precision@6', 0.2265), ('precision@3', 0.2658)])","OrderedDict([('recall@10', 0.2808), ('recall@6', 0.2025), ('recall@3', 0.1224), ('mrr@10', 0.4894), ('mrr@6', 0.4782), ('mrr@3', 0.4393), ('map@10', 0.1617), ('map@6', 0.1668), ('map@3', 0.2017), ('ndcg@10', 0.2895), ('ndcg@6', 0.276), ('ndcg@3', 0.2788), ('hit@10', 0.8874), ('hit@6', 0.7961), ('hit@3', 0.6146), ('precision@10', 0.1998), ('precision@6', 0.2334), ('precision@3', 0.2709)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.5559,"OrderedDict([('recall@10', 0.3344), ('recall@6', 0.2449), ('recall@3', 0.1471), ('mrr@10', 0.5559), ('mrr@6', 0.5462), ('mrr@3', 0.511), ('map@10', 0.2049), ('map@6', 0.2102), ('map@3', 0.25), ('ndcg@10', 0.3457), ('ndcg@6', 0.3306), ('ndcg@3', 0.3346), ('hit@10', 0.9255), ('hit@6', 0.8466), ('hit@3', 0.6841), ('precision@10', 0.2375), ('precision@6', 0.2783), ('precision@3', 0.3227)])","OrderedDict([('recall@10', 0.3408), ('recall@6', 0.2493), ('recall@3', 0.1537), ('mrr@10', 0.5698), ('mrr@6', 0.5605), ('mrr@3', 0.5273), ('map@10', 0.2133), ('map@6', 0.2204), ('map@3', 0.2661), ('ndcg@10', 0.355), ('ndcg@6', 0.3412), ('ndcg@3', 0.3508), ('hit@10', 0.9288), ('hit@6', 0.8534), ('hit@3', 0.6995), ('precision@10', 0.2419), ('precision@6', 0.2853), ('precision@3', 0.3384)])"
5,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01v_d1.yaml,2024-05-13,19:26:51,2024-05-13,20:24:33,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.7462,"OrderedDict([('auc', 0.7462), ('mae', 0.2713), ('rmse', 0.3351), ('logloss', 0.389)])","OrderedDict([('auc', 0.7463), ('mae', 0.2702), ('rmse', 0.3336), ('logloss', 0.3859)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.8961,"OrderedDict([('auc', 0.8961), ('mae', 0.2232), ('rmse', 0.363), ('logloss', 0.4375)])","OrderedDict([('auc', 0.8973), ('mae', 0.2211), ('rmse', 0.3603), ('logloss', 0.4301)])"
6,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01v_d2.yaml,2024-05-13,21:26:46,2024-05-13,22:23:16,ml-1m,3945,3456,256137,123,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.7474,"OrderedDict([('auc', 0.7474), ('mae', 0.2877), ('rmse', 0.3516), ('logloss', 0.4189)])","OrderedDict([('auc', 0.748), ('mae', 0.2865), ('rmse', 0.35), ('logloss', 0.4149)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.8956,"OrderedDict([('auc', 0.8956), ('mae', 0.2203), ('rmse', 0.3558), ('logloss', 0.4191)])","OrderedDict([('auc', 0.897), ('mae', 0.2182), ('rmse', 0.353), ('logloss', 0.4115)])"
7,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01v_t1.yaml,2024-05-13,22:23:20,2024-05-13,23:17:43,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.8513,"OrderedDict([('auc', 0.8513), ('mae', 0.2738), ('rmse', 0.3557), ('logloss', 0.4124)])","OrderedDict([('auc', 0.8513), ('mae', 0.2727), ('rmse', 0.3543), ('logloss', 0.4093)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.8897,"OrderedDict([('auc', 0.8897), ('mae', 0.2147), ('rmse', 0.3528), ('logloss', 0.4014)])","OrderedDict([('auc', 0.8921), ('mae', 0.2125), ('rmse', 0.3499), ('logloss', 0.3942)])"
8,neumf/baseline_bandle_4,exp_0_NeuMF_ml1m_01v_t2.yaml,2024-05-13,23:17:47,2024-05-14,00:17:46,ml-1m,3945,3456,256137,123,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.8462,"OrderedDict([('auc', 0.8462), ('mae', 0.3098), ('rmse', 0.4078), ('logloss', 0.5094)])","OrderedDict([('auc', 0.8463), ('mae', 0.3084), ('rmse', 0.4062), ('logloss', 0.5053)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",1.0,[{'epochs': 20}],0.882,"OrderedDict([('auc', 0.882), ('mae', 0.2084), ('rmse', 0.3359), ('logloss', 0.3586)])","OrderedDict([('auc', 0.8834), ('mae', 0.2065), ('rmse', 0.3331), ('logloss', 0.3526)])"
