,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,seed,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_0:bestmodel_file,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res,train_1:bestmodel_file
0,neumf,exp_1_NeuMF_ml1m_0x.yaml,2024-10-02,22:09:55,,,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",,InputType.POINTWISE,,"{'RS': [0.7, 0.1, 0.2]}",uni100,uni100,AUC,0.3,,,,,,[],,[],,,,,,,,,,[],,[],,,,
1,neumf,exp_1_NeuMF_ml1m_0x.yaml,2024-10-02,22:09:55,2024-10-02,22:14:39,ml-1m,3945,3456,256137,42,"[20,150)","[0,inf)",,InputType.POINTWISE,,"{'RS': [0.7, 0.1, 0.2]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 2}],0.8976,"OrderedDict([('auc', 0.8976), ('mae', 0.2451), ('rmse', 0.3616), ('logloss', 0.4114)])","OrderedDict([('auc', 0.9005), ('mae', 0.2425), ('rmse', 0.358), ('logloss', 0.4027)])",saved/NeuMF-Oct-02-2024_22-10-07.pth,,,,,,[],0.0,[{'epochs': 2}],0.9029,"OrderedDict([('auc', 0.9029), ('mae', 0.2094), ('rmse', 0.3377), ('logloss', 0.3643)])","OrderedDict([('auc', 0.9052), ('mae', 0.2068), ('rmse', 0.334), ('logloss', 0.3556)])",saved/NeuMF-Oct-02-2024_22-12-30.pth
