,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,seed,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_0:bestmodel_file,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res,train_1:bestmodel_file
0,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-08-04,14:11:16,,,ml-1m_split10_train,6041,3648,695010,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,,,,,,[],,[],,,,,,,,,,[],,[],,,,
1,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-08-05,23:22:57,2024-08-05,23:23:14,ml-1m_split11,6041,3648,696469,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,AutoIntUserRMSE,user32.pt,,1.0,,[],0.0,[{'epochs': 2}],,,,,,,,,,[],,[],,,,
2,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-08-05,23:35:39,2024-08-05,23:35:45,ml-1m_split11,6041,3648,696469,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,AutoIntUserRMSE,user32.pt,,1.0,,[],0.0,[{'epochs': 2}],,,,,,,,,,[],,[],,,,
3,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-08-05,23:37:04,2024-08-05,23:37:09,ml-1m_split11,6041,3648,696469,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,AutoIntUserRMSE,user32.pt,,1.0,,[],0.0,[{'epochs': 2}],,,,,,,,,,[],,[],,,,
4,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-08-05,23:38:09,2024-08-05,23:38:14,ml-1m_split11,6041,3648,696469,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,AutoIntUserRMSE,user32.pt,,1.0,,[],0.0,[{'epochs': 2}],,,,,,,,,,[],,[],,,,
5,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-08-05,23:53:22,2024-08-05,23:53:28,ml-1m_split11,6041,3648,696469,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,AutoIntUserRMSE,user32.pt,,1.0,[3],[],0.0,[{'epochs': 2}],,,,,,,,,,[],,[],,,,
6,autointkar,exp_0_AutoIntKar_ml1m_0x.yaml,2024-10-03,23:05:13,2024-10-03,23:05:30,ml-1m_split11,6041,3648,696469,42,"[0,inf)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,AUC,0.1,AutoIntUserRMSE,user32.pt,,1.0,[3],[],0.0,[{'epochs': 2}],,,,,,,,,,[],,[],,,,
