,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,seed,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_0:bestmodel_file,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res,train_1:bestmodel_file
0,simplex/01_bandle_kar_avc,base_1_part.yaml,2024-05-21,02:11:42,,,Amazon_CDs_and_Vinyl,18080,251586,978519,42,"[20,inf)","[0,inf)",{'rating': 3},InputType.PAIRWISE,,"{'RS': [0.7, 0.1, 0.2]}",pop20,uni100,MRR@10,0.0,,,,,,[],,[],,,,,,,,,,[],,[],,,,
1,simplex/01_bandle_kar_avc,base_1_part.yaml,2024-05-21,02:25:05,2024-05-21,02:44:03,Amazon_CDs_and_Vinyl,4558,7784,194242,42,"[20,500)","[10,inf)",{'rating': 3},InputType.PAIRWISE,,"{'RS': [0.7, 0.1, 0.2]}",pop20,uni100,MRR@10,0.0,MultiVAEUserRMSE,user64_umap.pt,,1.0,,[],0.0,[{'epochs': 40}],0.5489,"OrderedDict([('recall@10', 0.6053), ('mrr@10', 0.5489), ('ndcg@10', 0.4748), ('hit@10', 0.9092), ('map@10', 0.346)])","OrderedDict([('recall@10', 0.2515), ('mrr@10', 0.4154), ('ndcg@10', 0.246), ('hit@10', 0.7847), ('map@10', 0.1379)])",saved/SimpleX-May-21-2024_02-25-26.pth,,,,,,[],,[],,,,
2,simplex/01_bandle_kar_avc,base_2_part.yaml,2024-05-21,02:44:29,2024-05-21,02:59:35,Amazon_CDs_and_Vinyl,4558,7784,194242,42,"[20,500)","[10,inf)",{'rating': 3},InputType.PAIRWISE,,"{'RS': [0.7, 0.1, 0.2]}",pop20,uni100,MAP@10,0.8,MultiVAEUserRMSE,user64_umap.pt,,1.0,[5],[],0.0,[{'epochs': 15}],0.0948,"OrderedDict([('recall@10', 0.2596), ('mrr@10', 0.1998), ('ndcg@10', 0.1679), ('hit@10', 0.5517), ('map@10', 0.0948)])","OrderedDict([('recall@10', 0.088), ('mrr@10', 0.1785), ('ndcg@10', 0.0868), ('hit@10', 0.4152), ('map@10', 0.0402)])",saved/SimpleX-May-21-2024_02-44-38.pth,,,,,,[],0.0,[{'epochs': 15}],0.3912,"OrderedDict([('recall@10', 0.652), ('mrr@10', 0.6), ('ndcg@10', 0.5226), ('hit@10', 0.9416), ('map@10', 0.3912)])","OrderedDict([('recall@10', 0.2907), ('mrr@10', 0.479), ('ndcg@10', 0.2898), ('hit@10', 0.8429), ('map@10', 0.1698)])",saved/SimpleX-May-21-2024_02-52-08.pth
