,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res
0,neumf/baseline_bandle,exp_0_NeuMF_ml1m_00.yaml,2024-04-23,19:34:15,,,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,,,,,,[],,[],,,,,,,,,[],,[],,,
1,neumf/baseline_bandle,exp_0_NeuMF_ml1m_00.yaml,2024-04-23,19:34:15,2024-04-23,20:18:18,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.527,"OrderedDict([('recall@10', 0.0542), ('mrr@10', 0.527), ('ndcg@10', 0.2842), ('hit@10', 0.9479), ('precision@10', 0.2728)])","OrderedDict([('recall@10', 0.0696), ('mrr@10', 0.6418), ('ndcg@10', 0.3782), ('hit@10', 0.9685), ('precision@10', 0.354)])",,,,,,[],,[],,,
2,neumf/baseline_bandle,exp_0_NeuMF_ml1m_01a.yaml,2024-04-23,20:18:21,2024-04-23,21:38:21,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.5069,"OrderedDict([('recall@10', 0.0524), ('mrr@10', 0.5069), ('ndcg@10', 0.2727), ('hit@10', 0.9479), ('precision@10', 0.2632)])","OrderedDict([('recall@10', 0.0645), ('mrr@10', 0.573), ('ndcg@10', 0.336), ('hit@10', 0.9528), ('precision@10', 0.3252)])",,,,,,[],,[],,,
3,neumf/baseline_bandle,exp_0_NeuMF_ml1m_01b.yaml,2024-04-23,21:38:24,2024-04-23,22:57:34,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.5254,"OrderedDict([('recall@10', 0.0547), ('mrr@10', 0.5254), ('ndcg@10', 0.2843), ('hit@10', 0.9528), ('precision@10', 0.2737)])","OrderedDict([('recall@10', 0.0692), ('mrr@10', 0.6507), ('ndcg@10', 0.3761), ('hit@10', 0.9685), ('precision@10', 0.3505)])",,,,,,[],,[],,,
4,neumf/baseline_bandle,exp_0_NeuMF_ml1m_02a.yaml,2024-04-23,22:57:38,2024-04-24,00:16:53,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.5139,"OrderedDict([('recall@10', 0.0498), ('mrr@10', 0.5139), ('ndcg@10', 0.2637), ('hit@10', 0.931), ('precision@10', 0.2493)])","OrderedDict([('recall@10', 0.0625), ('mrr@10', 0.581), ('ndcg@10', 0.3332), ('hit@10', 0.96), ('precision@10', 0.3165)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",0.0,[{'epochs': 20}],0.4885,"OrderedDict([('recall@10', 0.0499), ('mrr@10', 0.4885), ('ndcg@10', 0.26), ('hit@10', 0.9286), ('precision@10', 0.2521)])","OrderedDict([('recall@10', 0.0634), ('mrr@10', 0.601), ('ndcg@10', 0.3385), ('hit@10', 0.9516), ('precision@10', 0.3197)])"
5,neumf/baseline_bandle,exp_0_NeuMF_ml1m_02b.yaml,2024-04-24,00:16:57,2024-04-24,01:07:36,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1856,"OrderedDict([('recall@10', 0.0156), ('mrr@10', 0.1856), ('ndcg@10', 0.0793), ('hit@10', 0.5085), ('precision@10', 0.0788)])","OrderedDict([('recall@10', 0.0164), ('mrr@10', 0.2084), ('ndcg@10', 0.0862), ('hit@10', 0.5266), ('precision@10', 0.0834)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.385,"OrderedDict([('recall@10', 0.0378), ('mrr@10', 0.385), ('ndcg@10', 0.1922), ('hit@10', 0.8208), ('precision@10', 0.1878)])","OrderedDict([('recall@10', 0.0473), ('mrr@10', 0.461), ('ndcg@10', 0.2477), ('hit@10', 0.8511), ('precision@10', 0.235)])"
6,neumf/baseline_bandle,exp_0_NeuMF_ml1m_02c.yaml,2024-04-24,01:07:40,2024-04-24,01:59:33,ml-1m,827,3469,285997,"[250,500)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",pop50,pop50,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.2114,"OrderedDict([('recall@10', 0.0159), ('mrr@10', 0.2114), ('ndcg@10', 0.0855), ('hit@10', 0.523), ('precision@10', 0.0809)])","OrderedDict([('recall@10', 0.0154), ('mrr@10', 0.1789), ('ndcg@10', 0.0792), ('hit@10', 0.5048), ('precision@10', 0.0795)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.4029,"OrderedDict([('recall@10', 0.0374), ('mrr@10', 0.4029), ('ndcg@10', 0.1955), ('hit@10', 0.8051), ('precision@10', 0.1855)])","OrderedDict([('recall@10', 0.0463), ('mrr@10', 0.4507), ('ndcg@10', 0.2426), ('hit@10', 0.8402), ('precision@10', 0.2316)])"
